,categoryTypeId,categoryType,categoryId,category_eng_name,category_zh_name,searchKey
0,1,cuisine,4000,western,西式,cuisineId=4000
1,1,cuisine,2009,japanese,日本菜,cuisineId=2009
2,1,cuisine,6000,international,多國菜,cuisineId=6000
3,1,cuisine,3010,french,法國菜,cuisineId=3010
4,1,cuisine,4001,american,美國菜,cuisineId=4001
5,1,cuisine,1001,chiu-chow,潮州菜,cuisineId=1001
6,1,cuisine,1008,sichuan,川菜-四川,cuisineId=1008
7,1,cuisine,1013,hunan,湘菜-湖南,cuisineId=1013
8,1,cuisine,1002,guangdong,粵菜-廣東,cuisineId=1002
9,1,cuisine,1011,shanghai,滬菜-上海,cuisineId=1011
10,1,cuisine,1010,beijing,京菜-官府菜,cuisineId=1010
11,1,cuisine,4006,peruvian,秘魯菜,cuisineId=4006
12,1,cuisine,1004,hong-kong-style,港式,cuisineId=1004
13,1,cuisine,2021,middle-eastern,中東菜,cuisineId=2021
14,1,cuisine,4004,brazilian,巴西菜,cuisineId=4004
15,1,cuisine,4003,cuba,古巴菜,cuisineId=4003
16,1,cuisine,1009,taiwan,台灣菜,cuisineId=1009
17,1,cuisine,2007,indonesian,印尼菜,cuisineId=2007
18,1,cuisine,2006,indian,印度菜,cuisineId=2006
19,1,cuisine,1018,jingchuanhu,京川滬,cuisineId=1018
20,1,cuisine,1016,northeastern,東北菜,cuisineId=1016
21,1,cuisine,3021,eastern-europe,東歐菜,cuisineId=3021
22,1,cuisine,5001,african,非洲菜,cuisineId=5001
23,1,cuisine,1005,hakka,客家菜,cuisineId=1005
24,1,cuisine,2024,malaysian,馬來西亞菜,cuisineId=2024
25,1,cuisine,2005,singaporean,新加坡菜,cuisineId=2005
26,1,cuisine,3009,british,英國菜,cuisineId=3009
27,1,cuisine,5004,egyptian,埃及菜,cuisineId=5004
28,1,cuisine,2004,thai,泰國菜,cuisineId=2004
29,1,cuisine,3008,dutch,荷蘭菜,cuisineId=3008
30,1,cuisine,3022,jewish,猶太菜,cuisineId=3022
31,1,cuisine,2002,vietnamese,越南菜,cuisineId=2002
32,1,cuisine,3004,swiss,瑞士菜,cuisineId=3004
33,1,cuisine,3003,portuguese,葡國菜,cuisineId=3003
34,1,cuisine,1027,country-food,農家菜,cuisineId=1027
35,1,cuisine,1014,mongolia,蒙古菜,cuisineId=1014
36,1,cuisine,3001,german,德國菜,cuisineId=3001
37,1,cuisine,5005,moroccan,摩洛哥,cuisineId=5005
38,1,cuisine,2022,australian,澳洲菜,cuisineId=2022
39,1,cuisine,2001,korean,韓國菜,cuisineId=2001
40,1,cuisine,3033,turkish,土耳其菜,cuisineId=3033
41,1,cuisine,3013,belgian,比利時菜,cuisineId=3013
42,1,cuisine,3034,greek,希臘菜,cuisineId=3034
43,1,cuisine,2008,nepalese,尼泊爾菜,cuisineId=2008
